# AEB Small 100 SGF Manifest

Selection rule: sort every .sgf member in games.tgz lexicographically by archive path,
then keep the first 100 files that replay with status ok under VantaGo diagnostics.
Selected SGF bytes are committed unchanged under stable local filenames; source_path
records the original archive path for provenance.

archive_members_scanned_for_selection: 100
selected_files: 100
total_moves_replayed: 20065
skipped_during_selection:
  none

files:
id	file	source_path	event	round	black	white	result	date	moves	bytes	sha256
aeb-small-0001	sgf/aeb-small-0001.sgf	games/AJ1st/01/1.sgf	1st All Japan #1	1	Sakata Eio	Kubouchi Shuchi	B+R	1968-11-28	139	960	5c9dcfadf5d711333ba43b332b61267936c8ae80928e2ead88b36aa2f8577b88
aeb-small-0002	sgf/aeb-small-0002.sgf	games/AJ1st/01/10.sgf	1st All Japan #1	3	Fujisawa Shuko	Hashimoto Shoji	B+3.5	1969-08-14	227	1503	6811f5a689e4fc9bdb504b0889f3f0bc913dfc302ddbbdcf62c7a761f7bca701
aeb-small-0003	sgf/aeb-small-0003.sgf	games/AJ1st/01/11.sgf	1st All Japan #1	Challenger's Final	Fujisawa Shuko	Sugiuchi Masao	B+8.5	1969-12-29	238	1602	65782ed9e4d7eca03137d12d06eaf284019f642e9dcd6eb9a086d7d8c1022dcc
aeb-small-0004	sgf/aeb-small-0004.sgf	games/AJ1st/01/12.sgf	1st All Japan #1	3	Ishida Yoshio	Sugiuchi Masao	W+R	1969	248	1621	b981b5aba477a4a7ec432826901b9e3276395266db91fd3a20db39934aba350c
aeb-small-0005	sgf/aeb-small-0005.sgf	games/AJ1st/01/13.sgf	1st All Japan #1	4	Kurosawa Tadanao	Sugiuchi Masao	W+R	1969	128	892	a52a6c8a1ba7b9fb2d6003054fafb7d904b8b3870d949518723d54c5ef476b86
aeb-small-0006	sgf/aeb-small-0006.sgf	games/AJ1st/01/14.sgf	1st All Japan #1	4	Ohira Shuzo	Fujisawa Shuko	W+8.5	1969	230	1511	8c9e36fad5fe99514fb39192c60c184868dd927736e8045eaa7e1f8e0782c1c5
aeb-small-0007	sgf/aeb-small-0007.sgf	games/AJ1st/01/15.sgf	1st All Japan #1	1	Haruyama Isamu	Hashimoto Utaro	W+R	1968-11-07	96	709	7298c9127b32ceb6d8fcba7ab943abe0b79b5b3b0cd072208fe1cffd3838476c
aeb-small-0008	sgf/aeb-small-0008.sgf	games/AJ1st/01/16.sgf	1st All Japan #1	2	Ishida Yoshio	Hashimoto Utaro	B+0.5	1969-06-12	205	1375	f6aace58db6c3d55ba29d0e789a6fcc126909d40f1af52d38abe681ad97d21cb
aeb-small-0009	sgf/aeb-small-0009.sgf	games/AJ1st/01/17.sgf	1st All Japan #1	1	Chino Tadahiko	Hane Yasumasa	B+R	1968-12-14	275	1792	4561f6f1529c6031f681a30a5c2bd7fe2cb2b537c84a10b431a2cd2cf3f4294b
aeb-small-0010	sgf/aeb-small-0010.sgf	games/AJ1st/01/18.sgf	1st All Japan #1	1	Tainaka Shin	Rin Kaiho	W+12.5	1968-12-20	225	1489	8d9abecfb6787ea1e5b005f6821465a3f4dd4d8444f28590a375e36255950c42
aeb-small-0011	sgf/aeb-small-0011.sgf	games/AJ1st/01/19.sgf	1st All Japan #1	1	Hashimoto Shoji	Kajiwara Takeo	B+10.5	1968-12-26	240	1583	f15a8328b8d0f1698e320143e7400f0c757cffc0bf1019779a07541b15e94b4d
